date,count
1850-01,-0.901
1850-02,-0.151
1850-03,-0.503
1850-04,-0.673
1850-05,-0.607
1850-06,-0.193
1850-07,-0.062
1850-08,0.016
1850-09,-0.318
1850-10,-0.752
1850-11,-0.564
1850-12,-0.521
1851-01,-0.045
1851-02,-0.502
1851-03,-1.007
1851-04,-0.689
1851-05,-0.112
1851-06,0.052
1851-07,-0.054
1851-08,-0.006
1851-09,0.088
1851-10,0.058
1851-11,-0.210
1851-12,-0.206
1852-01,-0.353
1852-02,-0.483
1852-03,-0.676
1852-04,-0.719
1852-05,-0.029
1852-06,-0.021
1852-07,-0.012
1852-08,-0.056
1852-09,-0.020
1852-10,-0.070
1852-11,-0.578
1852-12,0.188
1853-01,-0.048
1853-02,-0.420
1853-03,-0.505
1853-04,-0.456
1853-05,-0.163
1853-06,0.024
1853-07,0.067
1853-08,0.097
1853-09,-0.195
1853-10,-0.382
1853-11,-0.602
1853-12,-0.362
1854-01,-0.458
1854-02,-0.422
1854-03,-0.085
1854-04,-0.311
1854-05,-0.194
1854-06,-0.350
1854-07,0.067
1854-08,0.051
1854-09,-0.123
1854-10,0.167
1854-11,-0.282
1854-12,-0.159
1855-01,0.003
1855-02,-0.371
1855-03,-0.354
1855-04,0.066
1855-05,-0.237
1855-06,-0.176
1855-07,-0.214
1855-08,-0.148
1855-09,-0.326
1855-10,-0.121
1855-11,-0.449
1855-12,-0.621
1856-01,0.026
1856-02,-0.381
1856-03,-0.508
1856-04,-0.244
1856-05,-0.224
1856-06,-0.090
1856-07,-0.273
1856-08,-0.274
1856-09,-0.369
1856-10,-0.488
1856-11,-0.691
1856-12,-0.487
1857-01,-0.673
1857-02,-0.418
1857-03,-0.464
1857-04,-0.738
1857-05,-0.733
1857-06,-0.199
1857-07,-0.254
1857-08,-0.216
1857-09,-0.338
1857-10,-0.501
1857-11,-0.760
1857-12,-0.124
1858-01,-0.123
1858-02,-0.602
1858-03,-0.566
1858-04,-0.300
1858-05,-0.388
1858-06,-0.287
1858-07,-0.240
1858-08,-0.335
1858-09,-0.376
1858-10,-0.176
1858-11,-0.426
1858-12,-0.483
1859-01,-0.338
1859-02,-0.320
1859-03,-0.264
1859-04,-0.083
1859-05,-0.014
1859-06,-0.129
1859-07,-0.268
1859-08,-0.143
1859-09,-0.387
1859-10,-0.278
1859-11,-0.251
1859-12,-0.498
1860-01,-0.577
1860-02,-0.640
1860-03,-1.268
1860-04,-0.331
1860-05,-0.279
1860-06,-0.104
1860-07,-0.099
1860-08,-0.023
1860-09,-0.014
1860-10,-0.272
1860-11,-0.822
1860-12,-1.080
1861-01,-1.383
1861-02,-0.662
1861-03,-0.394
1861-04,-0.548
1861-05,-0.517
1861-06,-0.103
1861-07,0.052
1861-08,0.112
1861-09,-0.248
1861-10,-0.414
1861-11,-0.443
1861-12,-0.319
1862-01,-1.113
1862-02,-1.005
1862-03,-0.837
1862-04,-0.798
1862-05,-0.553
1862-06,-0.414
1862-07,-0.340
1862-08,-0.299
1862-09,-0.340
1862-10,-0.517
1862-11,-0.924
1862-12,-1.281
1863-01,0.189
1863-02,-0.263
1863-03,-0.335
1863-04,-0.316
1863-05,-0.192
1863-06,-0.289
1863-07,-0.252
1863-08,-0.181
1863-09,-0.217
1863-10,-0.649
1863-11,-0.456
1863-12,-0.655
1864-01,-0.962
1864-02,-0.586
1864-03,-0.507
1864-04,-0.558
1864-05,-0.325
1864-06,0.185
1864-07,-0.127
1864-08,0.024
1864-09,-0.377
1864-10,-0.694
1864-11,-0.705
1864-12,-0.908
1865-01,-0.012
1865-02,-0.760
1865-03,-1.052
1865-04,-0.736
1865-05,-0.260
1865-06,-0.064
1865-07,-0.168
1865-08,-0.202
1865-09,-0.024
1865-10,-0.219
1865-11,-0.259
1865-12,-0.655
1866-01,-0.101
1866-02,-0.533
1866-03,-0.868
1866-04,-0.533
1866-05,-0.752
1866-06,-0.035
1866-07,0.083
1866-08,-0.182
1866-09,-0.362
1866-10,-0.593
1866-11,-0.275
1866-12,-0.333
1867-01,-0.501
1867-02,-0.319
1867-03,-1.072
1867-04,-0.596
1867-05,-0.854
1867-06,-0.356
1867-07,-0.145
1867-08,-0.171
1867-09,-0.128
1867-10,-0.132
1867-11,-0.164
1867-12,-0.422
1868-01,-0.806
1868-02,-1.003
1868-03,-0.514
1868-04,-0.285
1868-05,-0.234
1868-06,-0.068
1868-07,0.323
1868-08,-0.122
1868-09,-0.401
1868-10,-0.238
1868-11,-0.661
1868-12,-0.295
1869-01,-0.333
1869-02,0.377
1869-03,-0.806
1869-04,-0.520
1869-05,-0.178
1869-06,-0.189
1869-07,-0.164
1869-08,0.053
1869-09,-0.039
1869-10,-0.221
1869-11,-0.290
1869-12,-0.674
1870-01,-0.225
1870-02,-0.607
1870-03,-0.553
1870-04,-0.391
1870-05,-0.089
1870-06,-0.053
1870-07,0.078
1870-08,-0.176
1870-09,-0.084
1870-10,-0.400
1870-11,-0.203
1870-12,-1.044
1871-01,-0.843
1871-02,-1.115
1871-03,-0.235
1871-04,-0.154
1871-05,-0.449
1871-06,-0.240
1871-07,-0.028
1871-08,-0.121
1871-09,-0.329
1871-10,-0.240
1871-11,-0.871
1871-12,-0.666
1872-01,-0.826
1872-02,-0.860
1872-03,-0.594
1872-04,-0.433
1872-05,-0.035
1872-06,-0.191
1872-07,-0.043
1872-08,0.208
1872-09,-0.024
1872-10,-0.185
1872-11,-0.551
1872-12,-0.751
1873-01,-0.481
1873-02,-0.394
1873-03,-0.566
1873-04,-0.687
1873-05,-0.455
1873-06,-0.294
1873-07,-0.115
1873-08,-0.170
1873-09,-0.417
1873-10,-0.313
1873-11,-0.484
1873-12,-0.132
1874-01,-0.100
1874-02,-0.412
1874-03,-0.832
1874-04,-0.385
1874-05,-0.075
1874-06,-0.306
1874-07,-0.181
1874-08,-0.161
1874-09,0.007
1874-10,-0.373
1874-11,-0.420
1874-12,-0.287
1875-01,-0.912
1875-02,-0.779
1875-03,-0.735
1875-04,-0.535
1875-05,-0.362
1875-06,-0.118
1875-07,-0.061
1875-08,-0.241
1875-09,-0.313
1875-10,-0.219
1875-11,-0.831
1875-12,-0.701
1876-01,-0.624
1876-02,-0.384
1876-03,-0.415
1876-04,-0.457
1876-05,-0.716
1876-06,-0.149
1876-07,-0.023
1876-08,-0.200
1876-09,-0.249
1876-10,-0.276
1876-11,-0.722
1876-12,-1.004
1877-01,-0.517
1877-02,-0.371
1877-03,-0.178
1877-04,-0.466
1877-05,-0.312
1877-06,0.024
1877-07,0.090
1877-08,0.377
1877-09,0.165
1877-10,0.045
1877-11,0.081
1877-12,-0.155
1878-01,-0.330
1878-02,0.281
1878-03,0.573
1878-04,0.251
1878-05,-0.090
1878-06,0.380
1878-07,0.093
1878-08,0.115
1878-09,0.194
1878-10,-0.166
1878-11,-0.094
1878-12,-0.353
1879-01,-0.209
1879-02,-0.267
1879-03,-0.257
1879-04,-0.447
1879-05,-0.318
1879-06,-0.315
1879-07,-0.220
1879-08,-0.311
1879-09,-0.242
1879-10,-0.021
1879-11,-0.590
1879-12,-0.839
1880-01,-0.477
1880-02,-0.640
1880-03,-0.359
1880-04,-0.465
1880-05,-0.303
1880-06,-0.302
1880-07,-0.307
1880-08,-0.180
1880-09,-0.325
1880-10,-0.420
1880-11,-0.345
1880-12,-0.484
1881-01,-0.234
1881-02,-0.320
1881-03,-0.379
1881-04,-0.042
1881-05,-0.148
1881-06,-0.378
1881-07,-0.187
1881-08,-0.077
1881-09,-0.280
1881-10,-0.340
1881-11,-0.608
1881-12,-0.415
1882-01,0.099
1882-02,-0.164
1882-03,-0.241
1882-04,-0.431
1882-05,-0.414
1882-06,-0.447
1882-07,-0.417
1882-08,-0.241
1882-09,-0.195
1882-10,-0.573
1882-11,-0.574
1882-12,-0.879
1883-01,-0.769
1883-02,-0.802
1883-03,-0.398
1883-04,-0.431
1883-05,-0.378
1883-06,-0.242
1883-07,-0.227
1883-08,-0.273
1883-09,-0.299
1883-10,-0.330
1883-11,-0.620
1883-12,-0.356
1884-01,-0.535
1884-02,-0.468
1884-03,-0.833
1884-04,-0.741
1884-05,-0.650
1884-06,-0.563
1884-07,-0.599
1884-08,-0.593
1884-09,-0.684
1884-10,-0.556
1884-11,-0.844
1884-12,-0.548
1885-01,-0.946
1885-02,-0.680
1885-03,-0.455
1885-04,-0.701
1885-05,-0.607
1885-06,-0.627
1885-07,-0.368
1885-08,-0.274
1885-09,-0.360
1885-10,-0.355
1885-11,-0.581
1885-12,-0.163
1886-01,-0.580
1886-02,-0.672
1886-03,-0.665
1886-04,-0.389
1886-05,-0.340
1886-06,-0.468
1886-07,-0.150
1886-08,-0.389
1886-09,-0.386
1886-10,-0.402
1886-11,-0.617
1886-12,-0.289
1887-01,-1.021
1887-02,-0.770
1887-03,-0.427
1887-04,-0.484
1887-05,-0.439
1887-06,-0.443
1887-07,-0.334
1887-08,-0.507
1887-09,-0.292
1887-10,-0.413
1887-11,-0.382
1887-12,-0.421
1888-01,-0.670
1888-02,-0.754
1888-03,-0.698
1888-04,-0.299
1888-05,-0.376
1888-06,-0.177
1888-07,-0.198
1888-08,-0.233
1888-09,-0.285
1888-10,-0.105
1888-11,-0.293
1888-12,-0.381
1889-01,-0.512
1889-02,0.032
1889-03,-0.171
1889-04,-0.021
1889-05,-0.159
