county,state,date,count
"Los Angeles County ","CA",2020-02-02,14
"Los Angeles County ","CA",2020-02-03,15
"Los Angeles County ","CA",2020-02-04,17
"Los Angeles County ","CA",2020-02-05,17
"Los Angeles County ","CA",2020-02-06,18
"Los Angeles County ","CA",2020-02-07,18
"Los Angeles County ","CA",2020-02-08,20
"Los Angeles County ","CA",2020-02-09,21
"Los Angeles County ","CA",2020-02-10,25
"Los Angeles County ","CA",2020-02-11,28
"Los Angeles County ","CA",2020-02-12,30
"Los Angeles County ","CA",2020-02-13,31
"Los Angeles County ","CA",2020-02-14,33
"Los Angeles County ","CA",2020-02-15,38
"Los Angeles County ","CA",2020-02-16,43
"Los Angeles County ","CA",2020-02-17,46
"Los Angeles County ","CA",2020-02-18,53
"Los Angeles County ","CA",2020-02-19,56
"Los Angeles County ","CA",2020-02-20,59
"Los Angeles County ","CA",2020-02-21,65
"Los Angeles County ","CA",2020-02-22,67
"Los Angeles County ","CA",2020-02-23,69
"Los Angeles County ","CA",2020-02-24,71
"Los Angeles County ","CA",2020-02-25,80
"Los Angeles County ","CA",2020-02-26,86
"Los Angeles County ","CA",2020-02-27,101
"Los Angeles County ","CA",2020-02-28,107
"Los Angeles County ","CA",2020-02-29,121
"Los Angeles County ","CA",2020-03-01,130
"Los Angeles County ","CA",2020-03-02,158
"Los Angeles County ","CA",2020-03-03,177
"Los Angeles County ","CA",2020-03-04,192
"Los Angeles County ","CA",2020-03-05,211
"Los Angeles County ","CA",2020-03-06,246
"Los Angeles County ","CA",2020-03-07,293
"Los Angeles County ","CA",2020-03-08,336
"Los Angeles County ","CA",2020-03-09,386
"Los Angeles County ","CA",2020-03-10,478
"Los Angeles County ","CA",2020-03-11,579
"Los Angeles County ","CA",2020-03-12,715
"Los Angeles County ","CA",2020-03-13,883
"Los Angeles County ","CA",2020-03-14,1043
"Los Angeles County ","CA",2020-03-15,1196
"Los Angeles County ","CA",2020-03-16,1374
"Los Angeles County ","CA",2020-03-17,1612
"Los Angeles County ","CA",2020-03-18,1846
"Los Angeles County ","CA",2020-03-19,2047
"Los Angeles County ","CA",2020-03-20,2286
"Los Angeles County ","CA",2020-03-21,2573
"Los Angeles County ","CA",2020-03-22,2798
"Los Angeles County ","CA",2020-03-23,3070
"Los Angeles County ","CA",2020-03-24,3392
"Los Angeles County ","CA",2020-03-25,3696
"Los Angeles County ","CA",2020-03-26,4146
"Los Angeles County ","CA",2020-03-27,4543
"Los Angeles County ","CA",2020-03-28,4944
"Los Angeles County ","CA",2020-03-29,5357
"Los Angeles County ","CA",2020-03-30,5742
"Los Angeles County ","CA",2020-03-31,6386
"Los Angeles County ","CA",2020-04-01,7038
"Los Angeles County ","CA",2020-04-02,7703
"Los Angeles County ","CA",2020-04-03,8356
"Los Angeles County ","CA",2020-04-04,9187
