date,count
1935-02,708.70
1935-03,701.70
1935-04,752.40
1935-05,806.60
1935-06,909.10
1935-07,928.40
1935-08,925.90
1935-09,920.80
1935-10,914.90
1935-11,908.30
1935-12,908.40
1936-01,907.90
1936-02,908.40
1936-03,906.90
1936-04,922.20
1936-05,982.40
1936-06,1015.50
1936-07,1020.40
1936-08,1024.40
1936-09,1024.60
1936-10,1022.60
1936-11,1023.60
1936-12,1023.50
1937-01,1022.20
1937-02,1026.20
1937-03,1031.00
1937-04,1044.60
1937-05,1078.70
1937-06,1096.60
1937-07,1102.80
1937-08,1099.60
1937-09,1097.60
1937-10,1096.70
1937-11,1096.00
1937-12,1095.75
1938-01,1095.00
1938-02,1094.85
1938-03,1100.20
1938-04,1109.20
1938-05,1134.40
1938-06,1165.60
1938-07,1173.50
1938-08,1171.95
1938-09,1173.80
1938-10,1171.45
1938-11,1168.70
1938-12,1168.65
1939-01,1165.40
1939-02,1157.40
1939-03,1158.20
1939-04,1162.90
1939-05,1176.20
1939-06,1183.45
1939-07,1181.30
1939-08,1177.35
1939-09,1178.95
1939-10,1176.10
1939-11,1173.05
1939-12,1169.95
1940-01,1166.90
1940-02,1166.00
1940-03,1164.65
1940-04,1164.85
1940-05,1175.35
1940-06,1182.15
1940-07,1179.80
1940-08,1176.10
1940-09,1174.45
1940-10,1173.75
1940-11,1170.80
1940-12,1168.05
1941-01,1167.10
1941-02,1167.55
1941-03,1170.35
1941-04,1175.85
1941-05,1201.25
1941-06,1215.55
1941-07,1220.40
1941-08,1216.50
1941-09,1209.85
1941-10,1211.25
1941-11,1205.60
1941-12,1195.80
1942-01,1184.80
1942-02,1176.75
1942-03,1171.25
1942-04,1182.90
1942-05,1195.50
1942-06,1213.15
1942-07,1213.20
1942-08,1210.40
1942-09,1205.00
1942-10,1199.25
1942-11,1194.05
1942-12,1188.40
1943-01,1182.45
1943-02,1179.60
1943-03,1177.00
1943-04,1180.60
1943-05,1188.75
1943-06,1199.40
1943-07,1201.55
1943-08,1199.65
1943-09,1195.70
1943-10,1189.90
1943-11,1184.50
1943-12,1178.35
1944-01,1170.90
1944-02,1164.20
1944-03,1158.40
1944-04,1158.10
1944-05,1173.20
1944-06,1194.85
1944-07,1199.55
1944-08,1193.90
1944-09,1187.10
1944-10,1180.60
1944-11,1174.55
1944-12,1168.00
1945-01,1161.25
1945-02,1155.75
1945-03,1149.60
1945-04,1147.40
1945-05,1161.30
1945-06,1174.55
1945-07,1180.70
1945-08,1177.95
1945-09,1177.95
1945-10,1173.60
1945-11,1168.95
1945-12,1163.35
1946-01,1157.55
1946-02,1151.65
1946-03,1147.45
1946-04,1148.20
1946-05,1155.15
1946-06,1163.95
1946-07,1163.30
1946-08,1161.25
1946-09,1157.65
1946-10,1153.90
1946-11,1151.65
1946-12,1148.55
1947-01,1142.60
1947-02,1133.10
1947-03,1135.38
1947-04,1134.49
1947-05,1151.93
1947-06,1169.64
1947-07,1177.18
1947-08,1180.13
1947-09,1178.02
1947-10,1177.88
1947-11,1175.24
1947-12,1170.58
1948-01,1164.52
1948-02,1158.80
1948-03,1154.51
1948-04,1158.77
1948-05,1175.95
1948-06,1192.15
1948-07,1190.32
1948-08,1186.95
1948-09,1180.82
1948-10,1175.89
1948-11,1170.91
1948-12,1164.85
1949-01,1158.04
1949-02,1150.99
1949-03,1147.17
1949-04,1148.28
1949-05,1164.51
1949-06,1189.07
1949-07,1196.61
1949-08,1193.17
1949-09,1186.86
1949-10,1181.19
1949-11,1176.93
1949-12,1170.06
1950-01,1163.40
1950-02,1156.70
1950-03,1151.75
1950-04,1152.13
1950-05,1158.57
1950-06,1173.95
1950-07,1177.15
1950-08,1173.36
1950-09,1168.77
1950-10,1164.43
1950-11,1160.19
1950-12,1156.62
1951-01,1151.47
1951-02,1168.02
1951-03,1144.07
1951-04,1141.34
1951-05,1146.16
1951-06,1163.53
1951-07,1168.19
1951-08,1167.00
1951-09,1163.75
1951-10,1160.42
1951-11,1157.25
1951-12,1153.12
1952-01,1149.06
1952-02,1143.00
1952-03,1133.99
1952-04,1141.96
1952-05,1171.53
1952-06,1198.06
1952-07,1199.88
1952-08,1195.74
1952-09,1190.00
1952-10,1183.13
1952-11,1176.39
1952-12,1169.10
1953-01,1162.56
1953-02,1157.12
1953-03,1152.42
1953-04,1148.40
1953-05,1147.33
1953-06,1165.11
1953-07,1165.87
1953-08,1163.38
1953-09,1157.67
1953-10,1152.99
1953-11,1150.06
1953-12,1145.78
1954-01,1141.44
1954-02,1138.22
1954-03,1134.08
1954-04,1130.26
1954-05,1130.76
1954-06,1129.88
1954-07,1126.25
1954-08,1120.82
1954-09,1115.39
1954-10,1112.90
1954-11,1109.74
1954-12,1105.40
1955-01,1100.77
1955-02,1096.14
1955-03,1092.85
1955-04,1089.72
1955-05,1095.90
1955-06,1105.91
1955-07,1103.65
1955-08,1102.78
1955-09,1098.50
1955-10,1095.11
1955-11,1092.63
1955-12,1090.99
1956-01,1089.20
1956-02,1087.06
1956-03,1083.57
1956-04,1083.81
1956-05,1098.00
1956-06,1116.62
1956-07,1114.58
1956-08,1110.66
1956-09,1105.76
1956-10,1102.05
1956-11,1099.14
1956-12,1097.02
1957-01,1095.05
1957-02,1094.32
1957-03,1092.24
1957-04,1091.00
1957-05,1109.31
1957-06,1150.81
1957-07,1176.08
1957-08,1182.34
1957-09,1182.52
1957-10,1182.50
1957-11,1181.61
1957-12,1177.39
1958-01,1170.95
1958-02,1168.56
1958-03,1163.64
1958-04,1164.61
1958-05,1185.52
1958-06,1205.43
1958-07,1203.39
1958-08,1198.97
1958-09,1195.57
1958-10,1192.45
1958-11,1189.59
1958-12,1185.85
1959-01,1182.31
1959-02,1182.03
1959-03,1176.60
1959-04,1172.83
1959-05,1172.59
