,count
2020-03-26,342
2020-03-27,342
2020-03-28,166
2020-03-29,200
2020-03-30,369
2020-03-31,340
2020-04-01,399
2020-04-02,474
2020-04-03,273
2020-04-04,260
2020-04-05,295
2020-04-06,555
2020-04-07,399
2020-04-08,298
2020-04-09,308
2020-04-10,282
2020-04-11,158
2020-04-12,151
2020-04-13,250
2020-04-14,326
2020-04-15,516
2020-04-16,410
2020-04-17,320
2020-04-18,253
2020-04-19,108
2020-04-20,334
2020-04-21,245
2020-04-22,221
2020-04-23,188
2020-04-24,451
2020-04-25,230
2020-04-26,222
2020-04-27,193
2020-04-28,216
2020-04-29,204
2020-04-30,325
2020-05-01,193
2020-05-02,101
2020-05-03,82
2020-05-04,546
2020-05-05,425
2020-05-06,254
2020-05-07,210
2020-05-08,258
2020-05-09,168
2020-05-10,91
2020-05-11,191
2020-05-12,310
2020-05-13,243
2020-05-14,235
2020-05-15,243
2020-05-16,295
2020-05-17,132
2020-05-18,265
2020-05-19,176
2020-05-20,285
2020-05-21,344
2020-05-22,223
2020-05-23,130
2020-05-24,117
2020-05-25,116
2020-05-26,155
2020-05-27,351
2020-05-28,190
2020-05-29,183
2020-05-30,131
2020-05-31,242
2020-06-01,434
2020-06-02,148
2020-06-03,189
2020-06-04,169
2020-06-05,153
2020-06-06,93
2020-06-07,54
2020-06-08,161
2020-06-09,156
2020-06-10,249
2020-06-11,344
2020-06-12,194
2020-06-13,87
2020-06-14,161
2020-06-15,168
2020-06-16,160
2020-06-17,107
2020-06-18,113
2020-06-19,170
2020-06-20,95
2020-06-21,67
2020-06-22,170
2020-06-23,390
2020-06-24,233
2020-06-25,203
2020-06-26,179
2020-06-27,336
2020-06-28,198
2020-06-29,181
2020-06-30,170
2020-07-01,387
2020-07-02,287
2020-07-03,297
2020-07-04,171
2020-07-05,146
2020-07-06,537
2020-07-07,664
2020-07-08,277
2020-07-09,187
2020-07-10,478
2020-07-11,173
2020-07-12,146
2020-07-13,220
2020-07-14,526
2020-07-15,305
2020-07-16,336
2020-07-17,364
2020-07-18,225
2020-07-19,118
2020-07-20,205
2020-07-21,364
2020-07-22,184
2020-07-23,335
2020-07-24,210
2020-07-25,150
2020-07-26,91
2020-07-27,947
2020-07-28,1295
2020-07-29,614
2020-07-30,678
2020-07-31,792
2020-08-01,366
2020-08-02,495
2020-08-03,281
2020-08-04,529
2020-08-05,234
2020-08-06,443
2020-08-07,409
2020-08-08,224
2020-08-09,114
2020-08-10,153
2020-08-11,139
2020-08-12,254
2020-08-13,186
2020-08-14,294
2020-08-15,188
2020-08-16,91
2020-08-17,180
2020-08-18,335
2020-08-19,125
2020-08-20,137
2020-08-21,222
2020-08-22,263
2020-08-23,282
2020-08-24,233
2020-08-25,240
2020-08-26,175
2020-08-27,113
2020-08-28,89
2020-08-29,96
2020-08-30,144
2020-08-31,159
2020-09-01,222
2020-09-02,222
2020-09-03,230
2020-09-04,136
2020-09-05,98
2020-09-06,61
2020-09-07,130
2020-09-08,200
2020-09-09,123
2020-09-10,233
2020-09-11,279
2020-09-12,136
2020-09-13,138
2020-09-14,152
2020-09-15,224
2020-09-16,129
2020-09-17,97
2020-09-18,198
2020-09-19,67
2020-09-20,140
2020-09-21,80
2020-09-22,70
2020-09-23,224
2020-09-24,97
2020-09-25,111
2020-09-26,91
2020-09-27,126
2020-09-28,116
2020-09-29,162
2020-09-30,429
2020-10-01,169
2020-10-02,238
2020-10-03,98
2020-10-04,162
2020-10-05,181
2020-10-06,318
2020-10-07,285
2020-10-08,405
2020-10-09,175
2020-10-10,161
2020-10-11,81
2020-10-12,335
2020-10-13,150
2020-10-14,248
2020-10-15,538
2020-10-16,626
2020-10-17,144
2020-10-18,118
2020-10-19,280
2020-10-20,173
2020-10-21,106
2020-10-22,102
2020-10-23,105
2020-10-24,58
2020-10-25,106
2020-10-26,80
2020-10-27,81
2020-10-28,162
2020-10-29,107
2020-10-30,125
2020-10-31,48
2020-11-01,32
2020-11-02,140
2020-11-03,144
2020-11-04,442
2020-11-05,229
2020-11-06,146
2020-11-07,85
2020-11-08,60
2020-11-09,111
2020-11-10,334
2020-11-11,246
2020-11-12,116
2020-11-13,82
2020-11-14,76
2020-11-15,66
2020-11-16,88
2020-11-17,117
2020-11-18,454
2020-11-19,218
2020-11-20,192
2020-11-21,108
2020-11-22,55
2020-11-23,88
2020-11-24,147
2020-11-25,188
2020-11-26,66
2020-11-27,169
2020-11-28,143
2020-11-29,51
2020-11-30,114
2020-12-01,96
2020-12-02,195
2020-12-03,134
2020-12-04,140
2020-12-05,69
2020-12-06,63
